project,className,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WMC,NOA,NOPA,NOP,McCABE,BUSWEIMER
junit4,org.junit.Assume,158,1872.9147799889024,23,6,14,0,0,0,36,36,0,6,-0.07142857142857142,0,0.0,0,1,0.375,9,0,0,0,18,0.0
junit4,org.junit.AssumptionViolatedExceptionTest,96,349.1405513828929,43,12,34,34,3,2,36,36,0,0,-0.2857142857142857,4,0.0,0,8,0.0,9,3,3,0,9,0.0
junit4,org.junit.Assert,15136,12782.853594520953,75,5,0,0,431,9,2775,2775,0,0,-0.0273972602739726,0,6.187161639597834E-5,0,0,0.0,75,431,0,0,85,0.0
junit4,org.junit.ComparisonFailure,2622,1970.1026516615625,10,0,0,0,82,13,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,82,0,4,10,0.0
junit4,org.junit.ComparisonFailure,2623,1970.1026516615625,10,0,0,0,82,13,45,45,0,0,-0.25,0,0.0,0,0,0.0,10,82,0,4,10,0.0
junit4,org.junit.validator.PublicClassValidator,33,275.20606344506854,4,4,3,3,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,4,0.564981997013092
junit4,org.junit.validator.AnnotationValidator,60,434.0509956274084,3,5,0,0,1,1,0,0,3,3,1.0,0,1.0,1,1,0.0,3,1,0,1,6,0.04472968727350235
junit4,org.junit.validator.AnnotationValidatorFactory,42,414.0919786059063,7,1,6,6,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,5,6.920477608218789E-4
junit4,org.junit.validator.AnnotationsValidator,120,817.1797522861524,3,9,2,2,1,1,0,0,0,0,1.0,0,1.0,0,0,1.0,1,1,0,1,4,0.0
junit4,org.junit.validator.TestClassValidator,21,152.27866103883392,1,2,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,0.9977515339851379
junit4,org.junit.validator.AnnotationsValidatorTest,98,355.9701308755482,14,12,10,1,0,0,6,6,0,3,0.0,0,0.0,0,1,0.5,4,0,0,0,4,0.0
junit4,org.junit.validator.AnnotationValidatorFactoryTest,70,363.48221297536963,15,7,12,12,1,1,2,1,1,3,1.0,1,0.6666666666666666,1,1,0.0,3,1,1,0,3,0.0
junit4,org.junit.validator.PublicClassValidatorTest,41,130.8047388604593,12,7,10,10,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,2,0.0031788283959031105
junit4,org.junit.validator.AnnotationsValidator,1890,803.3092557613624,3,9,0,0,49,6,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,49,0,0,3,0.0
junit4,org.junit.validator.AnnotationValidatorFactory,894,614.10524690075,5,1,0,0,80,13,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,80,0,0,5,0.0
junit4,org.junit.validator.PublicClassValidator,686,540.3498360395885,5,4,0,0,33,9,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,33,0,0,5,0.0
junit4,org.junit.runners.ParentRunner,452,3952.423301343729,117,39,81,2,5,5,598,566,32,73,0.06386554621848739,8,0.09444444444444444,0,0,1.3714285714285714,36,5,0,5,101,0.0
junit4,org.junit.runners.BlockJUnit4ClassRunner,437,3943.0240142354937,129,27,95,2,1,1,561,561,0,34,0.001893939393939394,33,0.029411764705882353,0,0,0.7727272727272727,34,1,0,1,97,0.0
junit4,org.junit.runners.JUnit4,24,388.16242111356934,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,0.10925671458244324
junit4,org.junit.runners.Suite,130,1109.294497091821,20,13,10,10,1,1,39,33,6,7,-0.05555555555555555,6,0.4,0,0,1.0,10,1,0,1,31,0.0
junit4,org.junit.runners.AllTests,27,229.14940085774117,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,0.9686657786369324
junit4,org.junit.runners.Parameterized,351,2669.920317762963,45,17,35,2,3,2,42,39,3,13,0.1111111111111111,4,0.16666666666666666,0,0,0.8461538461538461,10,3,0,3,39,0.0
junit4,org.junit.runners.BlockJUnit4ClassRunner,7528,4864.90351463457,77,27,0,0,244,14,2898,2870,28,28,-0.016842105263157894,0,4.790291675537577E-4,0,0,0.0,77,244,0,0,82,0.0
junit4,org.junit.runners.Suite,2167,1473.4642144563418,17,13,0,0,97,11,136,136,0,0,-0.13333333333333333,0,0.0,0,0,0.0,17,97,0,0,18,0.0
junit4,org.junit.runners.Suite,2166,1473.4642144563418,17,13,0,0,97,11,136,136,0,0,-0.13333333333333333,0,0.0,0,0,0.0,17,97,0,0,18,0.0
junit4,org.junit.runners.ParentRunner,7607,3947.649611428441,57,39,0,0,277,11,1596,1596,0,0,-0.03636363636363636,0,6.333523339033504E-5,0,0,0.0,57,277,0,3,67,0.0
junit4,org.junit.runners.model.NoGenericTypeParametersValidator,58,345.000265254007,20,7,14,1,1,1,12,9,3,6,0.1,3,0.5,0,0,0.5,6,1,0,1,11,0.0
junit4,org.junit.runners.model.Annotatable,20,144.9126608664654,2,1,0,0,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,0.987788736820221
junit4,org.junit.runners.model.RunnerScheduler,23,269.5492770755925,2,0,0,0,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3,0.9894271492958069
junit4,org.junit.runners.model.TestTimedOutException,44,342.0697786546856,6,1,3,3,3,2,1,0,2,2,0.0,1,0.4444444444444444,0,0,0.0,3,3,0,3,8,0.0027967842761427164
junit4,org.junit.runners.model.InitializationError,47,323.7481353769364,5,2,1,1,2,2,5,4,1,1,-0.6666666666666666,3,0.25,0,0,0.0,4,2,0,2,5,0.4152390658855438
junit4,org.junit.runners.model.TestClass,313,2474.2642270547044,85,20,61,2,5,5,200,124,76,90,0.2648221343873518,5,0.18333333333333332,3,3,0.9130434782608695,24,5,0,5,80,0.0
junit4,org.junit.runners.model.Statement,15,184.33732652069367,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,0.998113214969635
junit4,org.junit.runners.model.MultipleFailureException,69,564.8892221217483,16,4,12,12,2,2,3,0,3,3,0.0,3,0.375,0,1,0.0,4,2,0,2,11,4.006183007732034E-4
junit4,org.junit.runners.model.FrameworkMethod,202,1787.790986741655,51,6,31,6,1,1,37,0,153,157,0.8070175438596491,2,0.9,5,6,4.2,20,1,0,1,53,0.0
junit4,org.junit.runners.model.FrameworkMember,45,302.6055070151548,13,2,5,5,0,0,28,28,0,3,-0.19047619047619047,0,0.0,0,0,5.0,8,0,0,0,16,0.0617760606110096
junit4,org.junit.runners.model.RunnerBuilder,108,1199.032976480043,19,6,12,2,1,1,20,19,1,7,0.06666666666666667,5,0.2857142857142857,0,0,1.0,7,1,0,1,27,0.0
junit4,org.junit.runners.model.FrameworkField,80,600.5233286924496,22,3,11,5,1,1,19,0,36,38,0.6222222222222222,2,0.8181818181818182,3,3,5.0,11,1,0,1,25,0.0
junit4,org.junit.runners.model.FrameworkFieldTest,58,243.52085167922402,20,11,16,16,1,1,6,6,0,0,-1.0,3,0.25,0,1,0.0,4,1,1,0,8,1.8510637164581567E-4
junit4,org.junit.runners.model.RunnerBuilderStub,11,57.93976484762761,1,2,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,0.49590572714805603
